country,degree,betweenness,closeness,pagerank
Malawi,0.15450643776824036,0.0,0.42057761732851984,0.001206838415524098
Rwanda,0.18884120171673818,0.0,0.34365781710914456,0.0017250891725739904
Guinea-Bissau,0.15021459227467812,1.8499334023975136e-05,0.46506986027944114,0.0007078392325209644
Republic of Korea,0.39914163090128757,0.0,0.4213381555153707,0.003941420661875075
Thailand,0.33905579399141633,0.0,0.42286751361161523,0.005450876200751223
Viet Nam,0.296137339055794,0.008676187657244339,0.39291736930860033,0.001049206363450233
Chad,0.18884120171673818,0.02084874944501998,0.4059233449477352,0.0016769670526200946
Equatorial Guinea,0.10300429184549356,0.0,0.38704318936877075,0.0007699836159893556
Saint Pierre and Miquelon,0.030042918454935622,0.0,0.42057761732851984,0.0006546464961873422
South Sudan,0.15021459227467812,0.008380198312860737,0.4198198198198198,0.0017680133167303764
Sudan,0.31759656652360513,0.0170378866360811,0.4371482176360225,0.002839480552300642
Channel Islands,0.034334763948497854,0.0,0.41906474820143885,0.0012824094939303107
"China, Macao SAR",0.06437768240343347,0.0,0.424408014571949,0.000961066781184947
Guam,0.07725321888412018,0.0,0.41532976827094475,0.008528927074090972
Madagascar,0.15021459227467812,0.004273346159538257,0.4052173913043478,0.0008005089844585562
Marshall Islands,0.047210300429184546,0.00471733017611366,0.4102112676056338,0.000753799448912916
Palau,0.06437768240343347,0.0,0.4087719298245614,0.0026625246227035
Tonga,0.08583690987124463,7.399733609590054e-05,0.4045138888888889,0.0006460532997820817
Comoros,0.09442060085836909,0.004291845493562232,0.36808846761453395,0.0015045614007582612
Mayotte,0.02575107296137339,0.0,0.3546423135464231,0.0012555705909427358
Réunion,0.05150214592274678,0.0,0.36180124223602483,0.0027225481866439485
Djibouti,0.07296137339055794,0.0,0.2953105196451204,0.0006849187125638997
Yemen,0.20600858369098712,0.006067781559863845,0.38704318936877075,0.000773069220032179
Somalia,0.26180257510729615,0.025621577623205563,0.3157181571815718,0.0006741790261162092
Tuvalu,0.06437768240343347,0.007014330817423906,0.3733974358974359,0.00065324048845041
Monaco,0.06866952789699571,0.0,0.4221014492753623,0.0007646810938783605
Wallis and Futuna Islands,0.04291845493562232,0.004273346159538257,0.3669291338582677,0.0011477080326376195
Gambia,0.15021459227467812,0.0,0.4221014492753623,0.0013814088826874155
Gibraltar,0.047210300429184546,0.0,0.3728,0.0007181926809856473
Holy See,0.012875536480686695,0.0,0.004291845493562232,0.0006410378888792588
Others,0.9914163090128756,0.0,0.0,0.0006410256410256411
Saint Helena,0.030042918454935622,0.0,0.4045138888888889,0.0006444848247918089
